Species_ID_shark-references,Genus,Species,Author,,
2177,Etmopterus,lucifer,"JORDAN & SNYDER, 1902",,
2178,Etmopterus,molleri,"(WHITLEY, 1939)",,
2180,Etmopterus,perryi,"SPRINGER & BURGESS, 1985",,
2181,Etmopterus,polli,"BIGELOW, SCHROEDER & SPRINGER, 1953",,
2182,Etmopterus,princeps,"COLLETT, 1904",,
2183,Etmopterus,pseudosqualiolus,"LAST, BURGESS & SÉRET, 2002",,
2184,Etmopterus,pusillus,"(LOWE, 1839)",,
2186,Etmopterus,pycnolepis,"KOTLYAR, 1990",,
2187,Etmopterus,robinsi,"SCHOFIELD & BURGESS, 1997",,
9676,Etmopterus,schmidti,"DOLGANOV, 1986",,
2188,Etmopterus,schultzi,"BIGELOW, SCHROEDER & SPRINGER, 1953",,
11312,Etmopterus,sculptus,"EBERT, COMPAGNO & DE VRIES, 2011",,
2189,Etmopterus,sentosus,"BASS, D'AUBREY & KISTNASAMY, 1976",,
13821,Etmopterus,sheikoi,"(DOLGANOV, 1986)",,
2191,Etmopterus,spinax,"(LINNAEUS, 1758)",,
2192,Etmopterus,splendidus,"YANO, 1988",,
2193,Etmopterus,tasmaniensis,"MYAGKOV & PAVLOV, 1986",,
2194,Etmopterus,unicolor,"(ENGELHARDT, 1912)",,
11209,Etmopterus,viator,"STRAUBE, 2011",,
2195,Etmopterus,villosus,"GILBERT, 1905",,
2196,Etmopterus,virens,"BIGELOW, SCHROEDER & SPRINGER, 1953",,
2198,Eucrossorhinus,dasypogon,"(BLEEKER, 1867)",,
2251,Euprotomicroides,zantedeschia,"HULLEY & PENRITH, 1966",,
2252,Euprotomicrus,bispinatus,"(QUOY & GAIMARD, 1824)",,
2258,Eusphyra,blochii,"(CUVIER, 1816)",,
7988,Fenestraja,atripinna,"(BIGELOW & SCHROEDER, 1950)",,
7989,Fenestraja,cubensis,"(BIGELOW & SCHROEDER, 1950)",,
9677,Fenestraja,ishiyamai,"(BIGELOW & SCHROEDER, 1962)",,
9678,Fenestraja,maceachrani,"(SÉRET, 1989)",,
7990,Fenestraja,mamillidens,"(ALCOCK, 1889)",,
9679,Fenestraja,plutonia,"(GARMAN, 1881)",,
9680,Fenestraja,sibogae,"(WEBER, 1913)",,
9681,Fenestraja,sinusmexicanus,"(BIGELOW & SCHROEDER, 1950)",,
2267,Figaro,boardmani,"(WHITLEY, 1928)",,
2270,Figaro,striatus,"GLEDHILL, LAST & WHITE, 2008",,
2281,Furgaleus,macki,"(WHITLEY, 1943)",,
2307,Galeocerdo,cuvier,"(PÉRON & LESUEUR, 1822)",,
2374,Galeorhinus,galeus,"(LINNAEUS, 1758)",,
2412,Galeus,antillensis,"SPRINGER, 1979",,
2413,Galeus,arae,"(NICHOLS, 1927)",,
2416,Galeus,atlanticus,"(VAILLANT, 1888)",,
2419,Galeus,cadenati,"SPRINGER, 1966",,
2427,Galeus,eastmani,"(JORDAN & SNYDER, 1904)",,
2430,Galeus,gracilis,"COMPAGNO & STEVENS, 1993",,
2436,Galeus,longirostris,"TACHIKAWA & TANIUCHI, 1987",,
2439,Galeus,melastomus,"RAFINESQUE, 1810",,
2441,Galeus,mincaronei,"SOTO, 2001",,
2443,Galeus,murinus,"(COLLETT, 1904)",,
2445,Galeus,nipponensis,"NAKAYA, 1975",,
2446,Galeus,piperatus,"SPRINGER & WAGNER, 1966",,
2447,Galeus,polli,"CADENAT, 1959",,
2448,Galeus,priapus,"SÉRET & LAST, 2008",,
2450,Galeus,sauteri,"(JORDAN & RICHARDSON, 1909)",,
2451,Galeus,schultzi,"SPRINGER, 1979",,
2453,Galeus,springeri,"KONSTANTINOU & COZZI, 1998",,
2481,Ginglymostoma,cirratum,"(BONNATERRE, 1788)",,
14328,Ginglymostoma,unami,"DEL MORAL-FLORES, RAMÍREZ-ANTONIO, ANGULO & PÉREZ-PONCE DE LEÓN, 2015",,
10670,Glaucostegus,granulatus,"(CUVIER, 1829)",,
10722,Glaucostegus,halavi,"(FORSSKÅL, 1775)",,
13824,Glaucostegus,microphthalmus,"(TENG, 1959)",,
2515,Glaucostegus,typus,"(BENNETT, 1830)",,
2533,Glyphis,gangeticus,"(MÜLLER & HENLE, 1839)",,
2534,Glyphis,garricki,"COMPAGNO, WHITE & LAST, 2008",,
2536,Glyphis,glyphis,"(MÜLLER & HENLE, 1839)",,
2544,Gogolia,filewoodi,"COMPAGNO, 1973",,
2546,Gollum,attenuatus,"(GARRICK, 1954)",,
11140,Gollum,suluensis,"LAST & GAUDIANO, 2011",,
2554,Gurgesiella,atlantica,"(BIGELOW & SCHROEDER, 1962)",,
2555,Gurgesiella,dorsalifera,"McEACHRAN & COMPAGNO, 1980",,
2556,Gurgesiella,furvescens,"DE BUEN, 1959",,
2563,Gymnura,afuerae,"(HILDEBRAND, 1946)",,
2564,Gymnura,altavela,"(LINNAEUS, 1758)",,
2565,Gymnura,australis,"(RAMSAY & OGILBY, 1886)",,
2566,Gymnura,bimaculata,"(NORMAN, 1925)",,
2567,Gymnura,crebripunctata,"(PETERS, 1869)",,
2568,Gymnura,crooki,"FOWLER, 1934",,
2571,Gymnura,hirundo,"(LOWE, 1843)",,
2573,Gymnura,japonica,"(TEMMINCK & SCHLEGEL, 1850)",,
2576,Gymnura,marmorata,"(COOPER, 1864)",,
2577,Gymnura,micrura,"(BLOCH & SCHNEIDER, 1801)",,
2579,Gymnura,natalensis,"(GILCHRIST & THOMPSON, 1911)",,
2580,Gymnura,poecilura,"(SHAW, 1804)",,
2583,Gymnura,tentaculata,"(MÜLLER & HENLE, 1841)",,
2585,Gymnura,zonura,"(BLEEKER, 1852)",,
2598,Halaelurus,boesemani,"SPRINGER & D'AUBREY, 1972",,
2599,Halaelurus,buergeri,"(MÜLLER & HENLE, 1838)",,
2611,Halaelurus,lineatus,"BASS, D'AUBREY & KISTNASAMY, 1975",,
2613,Halaelurus,maculosus,"WHITE, LAST & STEVENS, 2007",,
2614,Halaelurus,natalensis,"(REGAN, 1904)",,
2616,Halaelurus,quagga,"(ALCOCK, 1899)",,
2618,Halaelurus,sellus,"WHITE, LAST & STEVENS, 2007",,
2634,Haploblepharus,edwardsii,"(SCHINZ, 1822)",,
2635,Haploblepharus,fuscus,"SMITH, 1950",,
2636,Haploblepharus,kistnasamyi,"HUMAN & COMPAGNO, 2006",,
2637,Haploblepharus,pictus,"(MÜLLER & HENLE, 1838)",,
10832,Heliotrygon,gomesi,"CARVALHO & LOVEJOY, 2011",,
10833,Heliotrygon,rosai,"CARVALHO & LOVEJOY, 2011",,
2649,Hemigaleus,australiensis,"WHITE, LAST & COMPAGNO, 2005",,
2653,Hemigaleus,microstoma,"BLEEKER, 1852",,
2664,Hemipristis,elongata,"(KLUNZINGER, 1871)",,
2696,Hemiscyllium,freycineti,"(QUOY & GAIMARD, 1824)",,
2697,Hemiscyllium,galei,"ALLEN & ERDMANN, 2008",,
2701,Hemiscyllium,hallstromi,"WHITLEY, 1967",,
13524,Hemiscyllium,halmahera,"ALLEN, ERDMANN & DUDGEON, 2013",,
2702,Hemiscyllium,henryi,"ALLEN & ERDMANN, 2008",,
10581,Hemiscyllium,michaeli,"ALLEN & DUDGEON, 2010",,
2704,Hemiscyllium,ocellatum,"(BONNATERRE, 1788)",,
2708,Hemiscyllium,strahani,"WHITLEY, 1967",,
2710,Hemiscyllium,trispeculare,"RICHARDSON, 1843",,
2713,Hemitriakis,abdita,"COMPAGNO & STEVENS, 1993",,
2714,Hemitriakis,complicofasciata,"TAKAHASHI & NAKAYA, 2004",,
2715,Hemitriakis,falcata,"COMPAGNO & STEVENS, 1993",,
2716,Hemitriakis,indroyonoi,"WHITE, COMPAGNO & DHARMADI, 2009",,
2717,Hemitriakis,japanica,"(MÜLLER & HENLE, 1839)",,
2719,Hemitriakis,leucoperiptera,"HERRE, 1923",,
2733,Heptranchias,perlo,"(BONNATERRE, 1788)",,
2769,Heterodontus,francisci,"(GIRARD, 1855)",,
2770,Heterodontus,galeatus,"(GÜNTHER, 1870)",,
2775,Heterodontus,japonicus,"MACLAY & MACLEAY, 1884",,
2783,Heterodontus,mexicanus,"TAYLOR & CASTRO-AGUIRRE, 1972",,
2786,Heterodontus,omanensis,"BALDWIN, 2005",,
2796,Heterodontus,portusjacksoni,"(MEYER, 1793)",,
2797,Heterodontus,quoyi,"(FRÉMINVILLE, 1840)",,
2798,Heterodontus,ramalheira,"(SMITH, 1949)",,
2816,Heterodontus,zebra,"(GRAY, 1831)",,
2822,Heteronarce,bentuviai,"(BARANES & RANDALL, 1989)",,
2823,Heteronarce,garmani,"REGAN, 1921",,
2824,Heteronarce,mollis,"(LLOYD, 1907)",,
2825,Heteronarce,prabhui,"TALWAR, 1981",,
2834,Heteroscymnoides,marleyi,"FOWLER, 1934",,
2855,Hexanchus,griseus,"(BONNATERRE, 1788)",,
2861,Hexanchus,nakamurai,"TENG, 1962",,
2875,Hexatrygon,bickelli,"HEEMSTRA & SMITH, 1980",,
2883,Himantura,alcockii,"(ANNANDALE, 1909)",,
2884,Himantura,astra,"LAST, MANJAJI-MATSUMOTO & POGONOSKI, 2008",,
2885,Himantura,bleekeri,"(BLYTH, 1860)",,
2890,Himantura,dalyensis,"LAST & MANJAJI-MATSUMOTO, 2008",,
2891,Himantura,draco,"COMPAGNO & HEEMSTRA, 1984",,
2892,Himantura,fai,"JORDAN & SEALE, 1906",,
2893,Himantura,fava,"(ANNANDALE, 1909)",,
2894,Himantura,fluviatilis,"(HAMILTON, 1822)",,
2895,Himantura,gerrardi,"(GRAY, 1851)",,
2897,Himantura,granulata,"(MACLEAY, 1883)",,
2899,Himantura,hortlei,"LAST, MANJAJI-MATSUMOTO & KAILOLA, 2006",,
2900,Himantura,imbricata,"(BLOCH & SCHNEIDER, 1801)",,
13785,Himantura,javaensis,"LAST & WHITE, 2013",,
2903,Himantura,jenkinsii,"(ANNANDALE, 1909)",,
2904,Himantura,kittipongi,"VIDTHAYANON & ROBERTS, 2005",,
2905,Himantura,krempfi,"(CHABANAUD, 1923)",,
2906,Himantura,leoparda,"MANJAJI-MATSUMOTO & LAST, 2008",,
2907,Himantura,lobistoma,"MANJAJI-MATSUMOTO & LAST, 2006",,
2908,Himantura,marginata,"(BLYTH, 1860)",,
2911,Himantura,microphthalma,"(CHEN, 1948)",,
2913,Himantura,oxyrhynchus,"(SAUVAGE, 1878)",,
2914,Himantura,pacifica,"(BEEBE & TEE-VAN, 1941)",,
2915,Himantura,pareh,"(BLEEKER, 1852)",,
2916,Himantura,pastinacoides,"(BLEEKER, 1852)",,
8256,Himantura,polylepis,"BLEEKER, 1852",,
12318,Himantura,randalli,"LAST, MANJAJI-MATSUMOTO & MOORE, 2012",,
2919,Himantura,schmardae,"(WERNER, 1904)",,
2921,Himantura,signifer,"COMPAGNO & ROBERTS, 1982",,
2923,Himantura,toshi,"WHITLEY, 1939",,
13462,Himantura,tutul,"BORSA, DURAND, SHEN, ARLYZA, SOLIHIN & BERREBI, 2013",,
2924,Himantura,uarnacoides,"(BLEEKER, 1852)",,
2925,Himantura,uarnak,"(FORSSKÅL, 1775)",,
2926,Himantura,undulata,"(BLEEKER, 1852)",,
2927,Himantura,walga,"(MÜLLER & HENLE, 1841)",,
2940,Holohalaelurus,favus,"HUMAN, 2006",,
2941,Holohalaelurus,grennian,"HUMAN, 2006",,
2942,Holohalaelurus,melanostigma,"(NORMAN, 1939)",,
2943,Holohalaelurus,punctatus,"(GILCHRIST, 1914)",,
2945,Holohalaelurus,regani,"(GILCHRIST, 1922)",,
3102,Hypnos,monopterygius,"(SHAW, 1795)",,
3105,Hypogaleus,hyugaensis,"(MIYOSI, 1939)",,
3151,Iago,garricki,"FOURMANOIR & RIVATON, 1979",,
3152,Iago,omanensis,"(NORMAN, 1939)",,
13977,Indobatis,ori,"(WALLACE, 1967)",,
10640,Insentiraja,laxipella,"(YEARSLEY & LAST, 1992)",,
10624,Insentiraja,subtilispinosa,"(STEHMANN, 1989)",,
3167,Irolita,waitii,"(MCCULLOCH, 1911)",,
3168,Irolita,westraliensis,"LAST & GLEDHILL, 2008",,
3200,Isistius,brasiliensis,"(QUOY & GAIMARD, 1824)",,
3205,Isistius,plutodus,"GARRICK & SPRINGER, 1964",,
3216,Isogomphodon,oxyrhynchus,"(MÜLLER & HENLE, 1839)",,
3294,Isurus,oxyrinchus,"RAFINESQUE, 1810",,
3295,Isurus,paucus,"GUITART MANDAY, 1966",,
3380,Lamiopsis,temminckii,"(MÜLLER & HENLE, 1839)",,
9008,Lamiopsis,tephrodes,"(FOWLER, 1905)",,
3415,Lamna,ditropis,"HUBBS & FOLLETT, 1947",,
3431,Lamna,nasus,"(BONNATERRE, 1788)",,
3478,Leptocharias,smithii,"(MÜLLER & HENLE, 1839)",,
3486,Leucoraja,caribbaea,"(McEACHRAN, 1977)",,
3487,Leucoraja,circularis,"(COUCH, 1838)",,
3488,Leucoraja,compagnoi,"(STEHMANN, 1995)",,
3489,Leucoraja,erinacea,"(MITCHILL, 1825)",,
3490,Leucoraja,fullonica,"(LINNAEUS, 1758)",,
3491,Leucoraja,garmani,"(WHITLEY, 1939)",,
3492,Leucoraja,lentiginosa,"(BIGELOW & SCHROEDER, 1951)",,
3493,Leucoraja,leucosticta,"(STEHMANN, 1971)",,
3494,Leucoraja,melitensis,"(CLARK, 1926)",,
3495,Leucoraja,naevus,"(MÜLLER & HENLE, 1841)",,
3496,Leucoraja,ocellata,"(MITCHILL, 1815)",,
3497,Leucoraja,pristispina,"LAST, STEHMANN & SÉRET, 2008",,
3498,Leucoraja,virginica,"(McEACHRAN, 1977)",,
3499,Leucoraja,wallacei,"(HULLEY, 1970)",,
3500,Leucoraja,yucatanensis,"(BIGELOW & SCHROEDER, 1950)",,
3566,Loxodon,macrorhinus,"MÜLLER & HENLE, 1839",,
3580,Malacoraja,kreffti,"(STEHMANN, 1977)",,
3582,Malacoraja,obscura,"DE CARVALHO, GOMES & GADIG, 2005",,
3583,Malacoraja,senta,"(GARMAN, 1885)",,
3584,Malacoraja,spinacidermis,"(BARNARD, 1923)",,
3590,Manta,alfredi,"(KREFFT, 1868)",,
3592,Manta,birostris,"(WALBAUM, 1792)",,
3605,Megachasma,pelagios,"TAYLOR, COMPAGNO & STRUHSAKER, 1983",,
3737,Mitsukurina,owstoni,"JORDAN, 1898",,
3744,Mobula,eregoodootenkee,"(BLEEKER, 1859)",,
3747,Mobula,hypostoma,"(BANCROFT, 1831)",,
3749,Mobula,japanica,"(MÜLLER & HENLE, 1841)",,
3751,Mobula,kuhlii,"(MÜLLER & HENLE, 1841)",,
3756,Mobula,mobular,"(BONNATERRE, 1788)",,
3757,Mobula,munkiana,"NOTARBARTOLO DI SCIARA, 1987",,
3762,Mobula,rochebrunei,"(VAILLANT, 1879)",,
3765,Mobula,tarapacana,"(PHILIPPI, 1892)",,
3767,Mobula,thurstoni,"(LLOYD, 1908)",,
3770,Mollisquama,parini,"DOLGANOV, 1984",,
3779,Mustelus,albipinnis,"CASTRO-AGUIRRE, ATUNA-MENDIOLA, GONZÁZ-ACOSTA & DE LA CRUZ-AGÜERO, 2005",,
3780,Mustelus,antarcticus,"GÜNTHER, 1870",,
3781,Mustelus,asterias,"CLOQUET, 1819",,
3783,Mustelus,californicus,"GILL, 1864",,
3784,Mustelus,canis,"(MITCHILL, 1815)",,
3789,Mustelus,dorsalis,"GILL, 1864",,
3792,Mustelus,fasciatus,"(GARMAN, 1913)",,
3794,Mustelus,griseus,"PIETSCHMANN, 1908",,
3796,Mustelus,henlei,"(GILL, 1863)",,
3797,Mustelus,higmani,"SPRINGER & LOWE, 1963",,
3801,Mustelus,lenticulatus,"PHILLIPPS, 1932",,
3802,Mustelus,lunulatus,"JORDAN & GILBERT, 1882",,
3804,Mustelus,manazo,"BLEEKER, 1854",,
11071,Mustelus,mangalorensis,"CUBELIO, REMYA & KURUP, 2011",,
3807,Mustelus,mento,"COPE, 1877",,
3808,Mustelus,minicanis,"HEEMSTRA, 1997",,
3810,Mustelus,mosis,"HEMPRICH & EHRENBERG, 1899",,
3811,Mustelus,mustelus,"(LINNAEUS, 1758)",,
3815,Mustelus,norrisi,"SPRINGER, 1939",,
3817,Mustelus,palumbes,"SMITH, 1957",,
3819,Mustelus,punctulatus,"RISSO, 1827",,
3820,Mustelus,ravidus,"WHITE & LAST, 2006",,
3821,Mustelus,schmitti,"SPRINGER, 1939",,
3822,Mustelus,sinusmexicanus,"HEEMSTRA, 1997",,
3825,Mustelus,stevensi,"WHITE & LAST, 2008",,
3828,Mustelus,walkeri,"WHITE & LAST, 2008",,
3830,Mustelus,whitneyi,"CHIRICHIGNO, 1973",,
3831,Mustelus,widodoi,"WHITE & LAST, 2006",,
3853,Myliobatis,aquila,"(LINNAEUS, 1758)",,
3870,Myliobatis,californica,"GILL, 1865",,
3878,Myliobatis,chilensis,"PHILIPPI, 1892",,
3905,Myliobatis,freminvillei,"LESUEUR, 1824",,
3913,Myliobatis,goodei,"GARMAN, 1885",,
3919,Myliobatis,hamlyni,"OGILBY, 1911",,
3937,Myliobatis,longirostris,"APPLEGATE & FITCH, 1964",,
3966,Myliobatis,peruvianus,"GARMAN, 1913",,
12640,Myliobatis,ridens,"RUOCCO, LUCIFORA, DE ASTARLOA, MABRAGAÑA & DELPIANI, 2012",,
3999,Myliobatis,tenuicaudatus,"HECTOR, 1877",,
4004,Myliobatis,tobijei,"BLEEKER, 1854",,
4022,Narcine,atzi,"CARVALHO & RANDALL, 2003",,
4024,Narcine,bancroftii,"(GRIFFITH & SMITH, 1834)",,
4027,Narcine,brasiliensis,"(OLFERS, 1831)",,
4030,Narcine,brevilabiata,"BESSEDNOV, 1966",,
4031,Narcine,brunnea,"ANNANDALE, 1909",,
4033,Narcine,entemedor,"JORDAN & STARKS, 1895",,
4036,Narcine,insolita,"CARVALHO, SÉRET & COMPAGNO, 2002",,
4037,Narcine,lasti,"CARVALHO & SÉRET, 2002",,
4038,Narcine,leoparda,"CARVALHO, 2001",,
4039,Narcine,lingula,"RICHARDSON, 1846",,
4041,Narcine,maculata,"(SHAW, 1804)",,
4047,Narcine,nelsoni,"CARVALHO, 2008",,
7994,Narcine,nigra,"DUMÉRIL, 1852",,
4048,Narcine,oculifera,"CARVALHO, COMPAGNO & MEE, 2002",,
4050,Narcine,ornata,"CARVALHO, 2008",,
4051,Narcine,prodorsalis,"BESSEDNOV, 1966",,
4052,Narcine,rierai,"(LLORIS & RUCABADO, 1991)",,
4055,Narcine,tasmaniensis,"RICHARDSON, 1841",,
4056,Narcine,timlei,"(BLOCH & SCHNEIDER, 1801)",,
4058,Narcine,vermiculatus,"BREDER, 1928",,
4060,Narcine,westraliensis,"MCKAY, 1966",,
4061,Narke,capensis,"(GMELIN, 1789)",,
4062,Narke,dipterygia,"(BLOCH & SCHNEIDER, 1801)",,
4064,Narke,japonica,"(TEMMINCK & SCHLEGEL, 1850)",,
4066,Nasolamia,velox,"(GILBERT, 1898)",,
4075,Nebrius,ferrugineus,"(LESSON, 1831)",,
4086,Negaprion,acutidens,"(RÜPPELL, 1837)",,
4087,Negaprion,brevirostris,"(POEY, 1868)",,
4104,Neoraja,africana,"(STEHMANN & SÉRET, 1983)",,
4105,Neoraja,caerulea,"(STEHMANN, 1976)",,
4106,Neoraja,carolinensis,"McEACHRAN & STEHMANN, 1984",,
4107,Neoraja,iberica,"STEHMANN, SÉRET, COSTA & BARO, 2008",,
4110,Neoraja,stehmanni,"(HULLEY, 1972)",,
4116,Neotrygon,annotata,"(LAST, 1987)",,
4117,Neotrygon,kuhlii,"(MÜLLER & HENLE, 1841)",,
4118,Neotrygon,leylandi,"(LAST, 1987)",,
11141,Neotrygon,ningalooensis,"LAST, WHITE, & PUCKRIDGE, 2010",,
4119,Neotrygon,picta,"LAST & WHITE, 2008",,
13642,Neotrygon,trigonoides,"(CASTELNAU, 1873)",,
12401,Notoraja,alisae,"SÉRET & LAST, 2012",,
4175,Notoraja,azurea,"McEACHRAN & LAST, 2008",,
12403,Notoraja,fijiensis,"SÉRET & LAST, 2012",,
4176,Notoraja,hirticauda,"LAST & McEACHRAN, 2006",,
12402,Notoraja,inusitata,"SÉRET & LAST, 2012",,
4178,Notoraja,lira,"McEACHRAN & LAST, 2008",,
12404,Notoraja,longiventralis,"SÉRET & LAST, 2012",,
4179,Notoraja,ochroderma,"McEACHRAN & LAST, 1994",,
8389,Notoraja,sapphira,"SÉRET & LAST, 2009",,
4181,Notoraja,sticta,"McEACHRAN & LAST, 2008",,
4183,Notoraja,tobitukai,"(HIYAMA, 1940)",,
4197,Notorynchus,cepedianus,"(PÉRON, 1807)",,
4240,Odontaspis,ferox,"(RISSO, 1810)",,
4255,Odontaspis,noronhai,"(MAUL, 1955)",,
4303,Okamejei,acutispina,"(ISHIYAMA, 1958)",,
4304,Okamejei,arafurensis,"LAST & GLEDHILL, 2008",,
4306,Okamejei,boesemani,"(ISHIHARA, 1987)",,
9011,Okamejei,cairae,"LAST, FAHMI & ISHIHARA, 2010",,
4308,Okamejei,heemstrai,"(McEACHRAN & FECHHELM, 1982)",,
4309,Okamejei,hollandi,"(JORDAN & RICHARDSON, 1909)",,
9012,Okamejei,jensenae,"LAST & LIM, 2010",,
4310,Okamejei,kenojei,"(MÜLLER & HENLE, 1841)",,
13989,Okamejei,koreana,"(JEONG & NAKABO, 1997)",,
4312,Okamejei,leptoura,"LAST & GLEDHILL, 2008",,
4314,Okamejei,meerdervoortii,"(BLEEKER, 1860)",,
4315,Okamejei,mengae,"JEONG, NAKABO & WU, 2007",,
14378,Okamejei,ornata,"WEIGMANN, STEHMANN & THIEL, 2015",,
10022,Okamejei,philipi,"(LLOYD, 1906)",,
4316,Okamejei,pita,"(FRICKE & AL-HASSAN, 1995)",,
4317,Okamejei,powelli,"(ALCOCK, 1898)",,
4318,Okamejei,schmidti,"(ISHIYAMA, 1958)",,
4349,Orectolobus,floridus,"LAST & CHIDLOW, 2008",,
4351,Orectolobus,halei,"WHITLEY, 1940",,
4352,Orectolobus,hutchinsi,"LAST, CHIDLOW & COMPAGNO, 2006",,
4353,Orectolobus,japonicus,"REGAN, 1906",,
9006,Orectolobus,leptolineatus,"LAST, WHITE & POGONOSKI, 2010",,
4354,Orectolobus,maculatus,"(BONNATERRE, 1788)",,
4356,Orectolobus,ornatus,"(DE VIS, 1883)",,
4358,Orectolobus,parvimaculatus,"LAST & CHIDLOW, 2008",,
4359,Orectolobus,reticulatus,"LAST, POGONOSKI & WHITE, 2008",,
4363,Orectolobus,wardi,"WHITLEY, 1939",,
4476,Oxynotus,bruniensis,"(OGILBY, 1893)",,
4477,Oxynotus,caribbaeus,"CERVIGÓN, 1961",,
4478,Oxynotus,centrina,"(LINNAEUS, 1758)",,
4480,Oxynotus,japonicus,"YANO & MUROFUSHI, 1985",,
4481,Oxynotus,paradoxus,"FRADE, 1929",,
4629,Paragaleus,leucolomatus,"COMPAGNO & SMALE, 1985",,
4630,Paragaleus,pectoralis,"(GARMAN, 1906)",,
4632,Paragaleus,randalli,"COMPAGNO, KRUPP & CARPENTER, 1996",,
4634,Paragaleus,tengi,"(CHEN, 1963)",,
4703,Parascyllium,collare,"RAMSAY & OGILBY, 1888",,
4704,Parascyllium,elongatum,"LAST & STEVENS, 2008",,
4705,Parascyllium,ferrugineum,"MCCULLOCH, 1911",,
4709,Parascyllium,sparsimaculatum,"GOTO & LAST, 2002",,
4710,Parascyllium,variolatum,"(DUMÉRIL, 1853)",,
4728,Paratrygon,aiereba,"(MÜLLER & HENLE, 1841)",,
4733,Parmaturus,albimarginatus,"SÉRET & LAST, 2007",,
4734,Parmaturus,albipenis,"SÉRET & LAST, 2007",,
4735,Parmaturus,bigus,"SÉRET & LAST, 2007",,
4736,Parmaturus,campechiensis,"SPRINGER, 1979",,
4737,Parmaturus,lanatus,"SÉRET & LAST, 2007",,
4738,Parmaturus,macmillani,"HARDY, 1985",,
4741,Parmaturus,melanobranchus,"(CHAN, 1966)",,
4742,Parmaturus,pilosus,"GARMAN, 1906",,
4744,Parmaturus,xaniurus,"(GILBERT, 1892)",,
14091,Pastinachus,ater,"(MACLEAY, 1883)",,
14090,Pastinachus,chindwinensis,"(ROBERTS, 2007)",,
9013,Pastinachus,gracilicaudus,"LAST & MANJAJI-MATSUMOTO, 2010",,
4763,Pastinachus,sephen,"(FORSSKÅL, 1775)",,
4765,Pastinachus,solocirostris,"LAST, MANJAJI & YEARSLEY, 2005",,
9014,Pastinachus,stellurostris,"LAST, FAHMI & NAYLOR, 2010",,
4767,Pavoraja,alleni,"McEACHRAN & FECHHELM, 1982",,
4768,Pavoraja,arenaria,"LAST, MALLICK & YEARSLEY, 2008",,
4771,Pavoraja,mosaica,"LAST, MALLICK & YEARSLEY, 2008",,
4772,Pavoraja,nitida,"(GÜNTHER, 1880)",,
4774,Pavoraja,pseudonitida,"LAST, MALLICK & YEARSLEY, 2008",,
4776,Pavoraja,umbrosa,"LAST, MALLICK & YEARSLEY, 2008",,
4785,Pentanchus,profundicolus,"SMITH & RADCLIFFE, 1912",,
13119,Planonasus,parini,"WEIGMANN, STEHMANN & THIEL, 2013",,
11162,Platyrhina,hyugaensis,"IWATSUKI, MIYAMOTO & NAKAYA, 2011",,
4858,Platyrhina,sinensis,"(BLOCH & SCHNEIDER, 1801)",,
11161,Platyrhina,tangi,"IWATSUKI, ZHANG & NAKAYA, 2011",,
7986,Platyrhinoidis,triseriata,"(JORDAN & GILBERT, 1880)",,
10671,Plesiobatis,daviesi,"(WALLACE, 1967)",,
7855,Plesiotrygon,iwamae,"ROSA, CASTELLO & THORSON, 1987",,
11149,Plesiotrygon,nana,"CARVALHO & RAGNO, 2011",,
4894,Pliotrema,warreni,"REGAN, 1906",,
4923,Poroderma,africanum,"(GMELIN, 1789)",,
4925,Poroderma,pantherinum,"(MÜLLER & HENLE, 1838)",,
13969,Potamotrygon,amandae,"LOBODA & DE CARVALHO, 2013",,
4938,Potamotrygon,boesemani,"ROSA, DE CARVALHO & DE ALMEIDA WANDERLEY, 2008",,
4939,Potamotrygon,brachyura,"(GÜNTHER, 1880)",,
4943,Potamotrygon,constellata,"(VAILLANT, 1880)",,
4945,Potamotrygon,falkneri,"CASTEX & MACIEL, 1963",,
4948,Potamotrygon,henlei,"(CASTELNAU, 1855)",,
7967,Potamotrygon,humerosa,"GARMAN, 1913",,
4951,Potamotrygon,hystrix,"(MÜLLER & HENLE, 1841)",,
4954,Potamotrygon,leopoldi,"CASTEX & CASTELLO, 1970",,
13963,Potamotrygon,limai,"FONTENELLE, DA SILVA & DE CARVALHO, 2014",,
4955,Potamotrygon,magdalenae,"(DUMÉRIL, 1865)",,
4956,Potamotrygon,marinae,"DEYNAT, 2006",,
4958,Potamotrygon,motoro,"(MÜLLER & HENLE, 1841)",,
4959,Potamotrygon,ocellata,"(ENGELHARDT, 1912)",,
4960,Potamotrygon,orbignyi,"(CASTELNAU, 1855)",,
13968,Potamotrygon,pantanensis,"LOBODA & DE CARVALHO, 2013",,
4965,Potamotrygon,schroederi,"FERNÁNDEZ-YÉPEZ, 1958",,
4968,Potamotrygon,schuhmacheri,"CASTEX, 1964",,
4969,Potamotrygon,scobina,"GARMAN, 1913",,
4970,Potamotrygon,signata,"GARMAN, 1913",,
11027,Potamotrygon,tatianae,"SILVA & CARVALHO, 2011",,
11013,Potamotrygon,tigrina,"CARVALHO, SABAJ PEREZ & LOVEJOY, 2011",,
4973,Potamotrygon,yepezi,"CASTEX & CASTELLO, 1970",,
5004,Prionace,glauca,"(LINNAEUS, 1758)",,
5014,Pristiophorus,cirratus,"(LATHAM, 1794)",,
5015,Pristiophorus,delicatus,"YEARSLEY, LAST & WHITE, 2008",,
5016,Pristiophorus,japonicus,"GÜNTHER, 1870",,
